Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00304,0.00849,0.00113,0.00099,0.00037,0.00113,0.00124,0.00062,0,0,0,0.00015,0.00011,0.00231,0.00154,0.00425,0.00051,0.00048,0.00029,0.69079,39.62555,0.00103,0.00095,0.02025,0,164.54819,"27,315","4,876",Cicero Academica,166,Prose
0.00298,0.00775,0.00058,0.00075,0.00038,0.00048,0.00105,0.00081,0.00001,0.00003,0.00001,0.00005,0.00005,0.00215,0.00112,0.00341,0.00079,0.0008,0.00012,0.55346,34.59105,0.00054,0.00107,0.01794,0.00001,130.76648,"138,874","25,109",Cicero Brutus,1062,Prose
0.00811,0.005,0.00013,0.00084,0,0.00006,0.00065,0.00091,0.00006,0,0,0.00013,0.00019,0.00136,0.00097,0.00311,0.00026,0.00195,0.00013,0.64706,34.53097,0.00045,0.00123,0.0135,0,217.05634,"15,411","2,639",Cicero Cum Populo Gratias Egit,71,Prose
0.00206,0.00737,0.00068,0.00156,0.00035,0.00047,0.00115,0.00056,0,0.00004,0,0.00004,0.0001,0.00338,0.002,0.00453,0.00091,0.00088,0.00018,0.62703,32.27739,0.00078,0.00084,0.01754,0,123.89398,"51,416","9,338",Cicero De Amicitia,415,Prose
0.00216,0.00714,0.00054,0.00077,0.00035,0.00052,0.00088,0.00083,0.00001,0.00003,0,0.00007,0.00005,0.00206,0.00175,0.00344,0.00258,0.00033,0.00027,0.57296,29.91443,0.00063,0.0011,0.0159,0.00003,109.08861,"155,124","27,761",Cicero De Divinatione,1422,Prose
0.0059,0.00646,0.00012,0.00074,0.00068,0.00033,0.00077,0.00046,0,0.00002,0.00001,0.00001,0.00004,0.00145,0.00195,0.00406,0.00318,0.00137,0.00014,0.59091,34.74645,0.00049,0.00095,0.01304,0.00008,142.60768,"85,422","15,136",Cicero De Domo Sua,599,Prose
0.00151,0.01038,0.00068,0.00049,0.00026,0.00113,0.0006,0.00045,0,0,0.00004,0.00004,0.00004,0.00306,0.00317,0.0037,0.00128,0.00019,0.00008,0.59146,24.82967,0.00045,0.00091,0.01608,0,133.09548,"26,486","4,952",Cicero De Fato,199,Prose
0.00276,0.00756,0.00047,0.00109,0.0003,0.0005,0.00154,0.00052,0,0.00002,0.00007,0.00002,0.00002,0.00259,0.00224,0.00403,0.00117,0.00042,0.00022,0.65517,29.37419,0.00097,0.0008,0.01897,0,131.41176,"40,212","7,180",Cicero De Finibus Bonorum Et Malorum Part 1,306,Prose
0.00336,0.0084,0.00031,0.00138,0.00071,0.0006,0.00144,0.00067,0,0,0.00001,0.0001,0.00006,0.00271,0.00282,0.0032,0.00246,0.00063,0.00016,0.54512,27.20988,0.00066,0.00087,0.0146,0.00004,96.89281,"68,697","12,659",Cicero De Finibus Bonorum Et Malorum Part 2,709,Prose
0.00207,0.00998,0.00075,0.00132,0.0004,0.00099,0.00134,0.00078,0,0,0.00009,0.00007,0.00007,0.00344,0.00188,0.00393,0.00078,0.00038,0.00016,0.71284,26.91121,0.00162,0.00096,0.01833,0,129.18845,"42,503","7,863",Cicero De Finibus Bonorum Et Malorum Part 3,329,Prose
