"","primerid","component","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","z"
"1","p001","C","conditionphil",7.60962166132678e-05,0.0456179758556905,0.0154890926208213,0.0305535342382559,3.97517732340556
"2","p001","C","conditionspeech",1.14701558739236e-37,0.114587376541312,0.0846269826983686,0.0996071796198404,13.032304293455
"3","p001","C","(Intercept)",NA,0.21466953264697,0.193745660209004,0.204207596427987,38.2567362284347
"4","p001","D","conditionphil",2.31448138519461e-101,1.35241348125222,1.12166300216591,1.23703824170907,21.0144777237205
"5","p001","D","conditionspeech",1.4553174408081e-212,2.17187655179978,1.89457099043462,2.0332237711172,28.7411860352332
"6","p001","D","(Intercept)",NA,-0.79398434797654,-0.930594206185716,-0.862289277081128,-24.7428106505504
"7","p001","H","conditionphil",2.479536449629e-103,NA,NA,NA,NA
"8","p001","H","conditionspeech",1.05397453067531e-246,NA,NA,NA,NA
"9","p001","S","conditionphil",NA,NA,NA,NA,17.6703545433355
"10","p001","S","conditionspeech",NA,NA,NA,NA,29.5383182852461
"11","p001","S","(Intercept)",NA,NA,NA,NA,9.5557884165723
"12","p001","logFC","conditionphil",NA,0.0878364494998443,0.0691626038387202,0.0784995266692823,16.4782603291553
"13","p001","logFC","conditionspeech",NA,0.182641980521094,0.159927441896632,0.171284711208863,29.5592061650039
"14","p002","C","conditionphil",1.28856852855614e-05,0.0412886619770166,0.0158158429962518,0.0285522524866342,4.39381181906526
"15","p002","C","conditionspeech",0.920447048858309,0.0159226143736994,-0.0176418276049266,-0.000859606615613568,-0.100391837799529
"16","p002","C","(Intercept)",NA,0.158473404392538,0.141827441850001,0.15015042312127,35.3586547884057
"17","p002","D","conditionphil",2.74206263234672e-36,0.853785362728913,0.623886623637778,0.738835993183346,12.5976501032239
"18","p002","D","conditionspeech",0.0133835295093212,-0.0348334966718839,-0.309150340038502,-0.171991918355193,-2.4577270682399
"19","p002","D","(Intercept)",NA,-0.856383084350138,-0.994817871403374,-0.925600477876756,-26.2093602240868
"20","p002","H","conditionphil",3.21186859448742e-39,NA,NA,NA,NA
"21","p002","H","conditionspeech",0.0467082733715304,NA,NA,NA,NA
"22","p002","S","conditionphil",NA,NA,NA,NA,12.0147779475237
"23","p002","S","conditionspeech",NA,NA,NA,NA,-1.80886322554199
"24","p002","S","(Intercept)",NA,NA,NA,NA,6.46952822950309
"25","p002","logFC","conditionphil",NA,0.0451758063719024,0.0316567250720964,0.0384162657219994,11.1389961441714
"26","p002","logFC","conditionspeech",NA,0.000597977161047955,-0.0111262824443448,-0.00526415264164842,-1.76003431073917
"27","p003","C","conditionphil",5.81176924215513e-114,0.211919010643984,0.178843429654614,0.195381220149299,23.1554605115595
"28","p003","C","conditionspeech",2.96899136827994e-37,0.136375268254799,0.100282000817452,0.118328634536126,12.8511425258567
"29","p003","C","(Intercept)",NA,0.572348776242746,0.553456972125442,0.562902874184094,116.798729580765
"30","p003","D","conditionphil",4.19111970438669e-12,1.55466024716711,0.796215198344346,1.17543772275573,6.07510222723958
"31","p003","D","conditionspeech",0.00309322545444125,0.766605974348197,0.139091271579178,0.452848622963687,2.82883249600635
"32","p003","D","(Intercept)",NA,3.02340722106674,2.74484873285226,2.8841279769595,40.585996843095
"33","p003","H","conditionphil",6.14876230360931e-123,NA,NA,NA,NA
"34","p003","H","conditionspeech",6.00541019640699e-38,NA,NA,NA,NA
"35","p003","S","conditionphil",NA,NA,NA,NA,20.6691291305037
"36","p003","S","conditionspeech",NA,NA,NA,NA,11.087416666795
"37","p003","S","(Intercept)",NA,NA,NA,NA,111.287807309501
"38","p003","logFC","conditionphil",NA,0.229449332395774,0.19519078965233,0.212320061024052,24.294067375772
"39","p003","logFC","conditionspeech",NA,0.143623344212526,0.105872835474346,0.124748089843436,12.9535612316672
"40","p004","C","conditionphil",0.0512252400119365,4.47831356987748e-05,-0.0266171636686188,-0.01328619026646,-1.95337981919545
"41","p004","C","conditionspeech",0.00259129239664333,-0.00787755710994427,-0.0370377409715651,-0.0224576490407547,-3.01892357786204
"42","p004","C","(Intercept)",NA,0.475846433423666,0.460627728078537,0.468237080751102,120.605241206286
"43","p004","D","conditionphil",2.72775113584887e-06,0.786343196333406,0.308559353452712,0.547451274893059,4.49150718706436
"44","p004","D","conditionspeech",0.192638006745734,0.378074201855975,-0.0786141642705107,0.149730018792732,1.28518905233939
"45","p004","D","(Intercept)",NA,2.5201220831199,2.29353592232838,2.40682900272414,41.6380077742358
"46","p004","H","conditionphil",2.49803000318356e-06,NA,NA,NA,NA
"47","p004","H","conditionspeech",0.00457953738598204,NA,NA,NA,NA
"48","p004","S","conditionphil",NA,NA,NA,NA,1.79472707333527
"49","p004","S","conditionspeech",NA,NA,NA,NA,-1.22593543977431
"50","p004","S","(Intercept)",NA,NA,NA,NA,114.723301555864
